brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometers,currency,price,car_age,price_segment,km_category,sku_id
Jeep,Compass,2018,Negro,Nafta,5.0,Manual,2.4,Suv,60000,pesos,6750000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1077
Renault,Kwid,2018,Naranja,Nafta,5.0,Manual,1.0,Hatchback,49000,pesos,2789900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1078
Ford,Ecosport,2014,Negro,Nafta,5.0,Manual,1.6,Suv,79000,pesos,3189900,11,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1079
Ford,Ka,2019,Blanco,Nafta/Gnc,4.0,Manual,1.5,Sedán,59000,pesos,3189900,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1080
Chevrolet,Spin,2014,Gris,Nafta,5.0,Automática,1.8,Monovolumen,140000,pesos,2950000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1081
Fiat,Argo,2022,Blanco,Nafta,5.0,Manual,1.3,Hatchback,2000,pesos,4250000,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1082
Chevrolet,Spin,2016,Blanco,Nafta,5.0,Manual,1.8,Monovolumen,48000,pesos,3450000,9,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1083
Peugeot,208,2017,Plateado,Nafta,5.0,Manual,1.6,Hatchback,80000,pesos,4200500,8,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1084
Peugeot,208,2019,Gris,Nafta,5.0,Manual,1.6,Hatchback,13000,pesos,4590000,6,Cotizacion en Pesos (Verificar),Nuevo (<20k),1085
Ford,Focus Iii,2016,Gris,Nafta,5.0,Manual,2.0,Hatchback,86000,pesos,4237000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1086
Citroën,C3,2014,Gris,Nafta,5.0,Manual,1.5,Hatchback,118000,pesos,2550000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1087
Toyota,Hilux,2019,Gris,Diésel,4.0,Automática,2.8,Pick-Up,51700,pesos,11900000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1088
Ford,Focus Ii,2009,Dorado,Nafta,5.0,Manual,2.0,Hatchback,133000,pesos,2100500,16,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1089
Peugeot,2008,2020,Marrón,Nafta,5.0,Automática,1.6,Suv,26000,pesos,5650000,5,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1090
Chevrolet,Onix,2020,Blanco,Nafta,5.0,Manual,1.4,Hatchback,25000,pesos,3500000,5,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1091
Ford,Focus Iii,2018,Gris,Nafta,4.0,Automática,2.0,Sedán,55000,pesos,5289900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1092
Peugeot,208,2013,Negro,Nafta,5.0,Manual,1.5,Hatchback,110000,pesos,2350000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1093
Chevrolet,Onix,2018,Blanco,Nafta,5.0,Automática,1.4,Hatchback,40000,pesos,3800000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1094
Toyota,Yaris,2021,Blanco,Nafta,5.0,Automática,1.5,Hatchback,19000,pesos,5889900,4,Cotizacion en Pesos (Verificar),Nuevo (<20k),1095
Ram,1500,2022,Gris,Nafta,4.0,Automática,5.7,Pick-Up,8300,dólares,78500,3,Cotizacion en Pesos (Verificar),Nuevo (<20k),1096
Volkswagen,Nivus,2021,Blanco,Nafta,5.0,Automática,1.0,Suv,34000,pesos,7550000,4,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1097
Renault,Sandero,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,57000,pesos,3590000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1098
Renault,Duster Oroch,2021,Negro,Nafta,4.0,Manual,2.0,Suv,26000,pesos,6190000,4,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1099
Renault,Sandero,2013,Negro,Nafta,5.0,Manual,1.6,Hatchback,83000,pesos,1610000,12,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1100
Volkswagen,Gol Trend,2015,Plateado,Nafta,5.0,Manual,1.6,Hatchback,65500,pesos,1960000,10,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1101
Citroën,C4 Lounge,2014,Plateado,Nafta,4.0,Automática,1.6,Sedán,87000,pesos,2280000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1102
Volkswagen,Vento,2015,Plateado,Nafta,4.0,Manual,2.0,Sedán,54500,pesos,2100000,10,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1103
Volkswagen,Up!,2018,Blanco,Nafta,5.0,Manual,1.0,Hatchback,79000,pesos,1650000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1104
Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,Suv,87000,pesos,3590000,6,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1105
Ford,Focus Iii,2014,Plateado,Nafta,4.0,Manual,2.0,Sedán,57000,pesos,2150000,11,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1106
Honda,Hr-V,2015,Plateado,Nafta,5.0,Automática,1.8,Suv,92000,pesos,3800000,10,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1107
Volkswagen,Gol,2012,Negro,Nafta,5.0,Manual,1.4,Hatchback,102000,pesos,1550000,13,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1108
Renault,Clio,2014,Blanco,Nafta,3.0,Manual,1.2,Hatchback,85000,pesos,1595000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1109
Jeep,Renegade,2017,Gris,Nafta,5.0,Manual,1.8,Suv,52000,pesos,4700000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1110
Peugeot,2008,2016,Gris,Nafta,5.0,Manual,1.6,Suv,127000,pesos,2800000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1111
Hyundai,H1,2015,Gris,Diésel,4.0,Automática,2.5,Monovolumen,8900,dólares,42900,10,Cotizacion en Pesos (Verificar),Nuevo (<20k),1112
Volkswagen,Vento,2017,Gris,Nafta,4.0,Manual,2.0,Sedán,54000,pesos,7500000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1113
Honda,Cr-V,2016,Negro,Nafta,5.0,Automática,2.4,Suv,126000,pesos,6300000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1114
Fiat,Palio,2016,Marrón,Nafta,5.0,Manual,1.6,Rural,59000,pesos,3450000,9,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1115
Ford,Ranger,2018,Gris,Diésel,4.0,Automática,3.2,Pick-Up,70000,pesos,9500500,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1116
Chevrolet,Cruze,2014,Azul,Nafta,5.0,Automática,1.8,Hatchback,31000,pesos,3890000,11,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1117
Peugeot,2008,2017,Blanco,Nafta,5.0,Manual,1.6,Suv,78000,pesos,4200000,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1118
Volkswagen,Amarok,2016,Negro,Diésel,4.0,Automática,2.0,Pick-Up,129000,pesos,6500000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1119
Peugeot,408,2018,Plateado,Diésel,4.0,Manual,1.6,Sedán,59000,pesos,4289900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1120
Toyota,Hilux,2019,Gris,Diésel,4.0,Automática,2.8,Pick-Up,52000,pesos,12400000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1121
Peugeot,408,2018,Plateado,Diésel,4.0,Manual,1.6,Sedán,59000,pesos,4189900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1122
Peugeot,408,2016,Gris,Diésel,4.0,Manual,1.6,Sedán,115000,pesos,3650000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1123
Honda,Civic,2017,Gris,Nafta,3.0,Automática,1.5,Hatchback,112000,pesos,6300000,8,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1124
Honda,Civic,2017,Gris,Nafta,3.0,Automática,1.5,Hatchback,112000,pesos,6299000,8,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1125
Volkswagen,Golf,2016,Plateado,Nafta,5.0,Automática,1.4,Hatchback,126000,dólares,16000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1126
Renault,Sandero,2018,Negro,Nafta,5.0,Manual,1.6,Hatchback,44000,pesos,2700000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1127
Fiat,Uno,2016,Blanco,Nafta,5.0,Manual,1.4,Hatchback,87000,pesos,1975000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1128
Peugeot,408,2016,Gris,Diésel,4.0,Manual,1.6,Sedán,114000,pesos,3650000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1129
Renault,Sandero,2014,Rojo,Nafta,5.0,Manual,1.6,Hatchback,107000,pesos,1890000,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1130
Volkswagen,Amarok,2016,Negro,Diésel,4.0,Automática,2.0,Pick-Up,128900,pesos,6500000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1131
Volkswagen,Polo,2019,Gris,Nafta,5.0,Automática,1.6,Hatchback,33444,pesos,5200000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1132
Citroën,Jumper,2014,Blanco,Diésel,4.0,Manual,2.3,Furgón,139000,pesos,4689900,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1133
Bmw,Serie M,2017,Gris,Nafta,2.0,Automática,3.0,Coupé,11000,dólares,115700,8,Cotizacion en Pesos (Verificar),Nuevo (<20k),1134
Renault,Logan,2018,Dorado,Nafta,4.0,Manual,1.6,Sedán,42000,pesos,3000000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1135
Fiat,Palio,2017,Gris,Nafta,5.0,Manual,1.4,Hatchback,37000,pesos,2700500,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1136
Ford,Focus Ii,2009,Gris,Nafta,4.0,Manual,2.0,Sedán,160000,pesos,2000500,16,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1137
Renault,Clio,2014,Gris,Nafta,5.0,Manual,1.2,Hatchback,88000,pesos,2000500,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1138
Peugeot,207,2012,Gris,Diésel,5.0,Manual,1.4,Hatchback,110000,pesos,2000500,13,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1139
Chevrolet,Cruze Ii,2018,Plateado,Nafta,4.0,Manual,1.4,Sedán,63000,pesos,4429800,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1140
Volkswagen,Up!,2014,Plateado,Nafta,3.0,Manual,1.0,Hatchback,88000,pesos,2450500,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1141
Volkswagen,Amarok,2015,Gris,Diésel,4.0,Manual,2.0,Pick-Up,138468,pesos,5849000,10,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1142
Chevrolet,Aveo,2011,Blanco,Nafta,4.0,Manual,1.6,Sedán,153000,pesos,1650000,14,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1143
Volkswagen,Up!,2014,Plateado,Nafta,3.0,Manual,1.0,Hatchback,95000,pesos,2450500,11,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1144
Renault,Captur,2021,Plateado,Nafta,5.0,Manual,2.0,Suv,102000,pesos,5029000,4,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1145
Volkswagen,Polo,2019,Gris,Nafta,5.0,Automática,1.6,Hatchback,33500,pesos,5200000,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1146
Chevrolet,Celta,2012,Rojo,Nafta,3.0,Manual,1.4,Hatchback,85000,pesos,1850000,13,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1147
Volkswagen,Gol Trend,2017,Azul,Nafta,3.0,Manual,1.6,Hatchback,45000,pesos,2849900,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1148
Volkswagen,Gol Trend,2017,Blanco,Nafta,5.0,Manual,1.6,Hatchback,39000,pesos,3489900,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1149
Ford,Ecosport,2016,Blanco,Nafta,5.0,Manual,1.6,Suv,108000,pesos,3350000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1150
Volkswagen,Passat,2017,Blanco,Nafta,4.0,Automática,2.0,Sedán,59000,pesos,8489900,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1151
Volkswagen,Polo,2018,Azul,Nafta,5.0,Automática,1.6,Hatchback,79000,pesos,3889900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1152
Chevrolet,Prisma,2018,Plateado,Nafta,4.0,Automática,1.4,Sedán,38000,pesos,3650000,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1153
Peugeot,208,2014,Gris,Nafta,5.0,Manual,1.5,Hatchback,79000,pesos,2589900,11,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1154
Peugeot,2008,2017,Gris,Nafta,5.0,Manual,1.6,Suv,68000,pesos,3899900,8,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1155
Nissan,Versa,2019,Blanco,Nafta,4.0,Automática,1.6,Sedán,50000,pesos,3689900,6,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1156
Volkswagen,Golf,2016,Gris,Nafta,5.0,Automática,1.4,Hatchback,115000,pesos,5100000,9,Cotizacion en Pesos (Verificar),Muy Usado (80-150k),1157
Jeep,Renegade,2018,Verde,Nafta,5.0,Automática,1.8,Suv,69000,pesos,5489900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1158
Ford,Focus Iii,2016,Gris,Nafta,5.0,Manual,2.0,Hatchback,56000,pesos,4190000,9,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1159
Ford,Ranger,2020,Gris,Diésel,4.0,Automática,3.2,Pick-Up,14000,pesos,8989900,5,Cotizacion en Pesos (Verificar),Nuevo (<20k),1160
Ford,Ranger,2015,Blanco,Diésel,4.0,Automática,3.2,Pick-Up,169000,pesos,6489900,10,Cotizacion en Pesos (Verificar),Alto Kilometraje (>150k),1161
Ford,Mondeo,2018,Gris,Nafta,4.0,Automática,2.0,Sedán,60000,pesos,7289900,7,Cotizacion en Pesos (Verificar),Uso Medio (20-80k),1162
